[Dec  1 2015][00:16:47] pid is [8287] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8317] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
[Dec  1 2015][00:16:47] pid is [8335] filename is [message_handler.c],fun is [handle_message], at line[149] , debug_info: test
